"date","PM2.5","NO2","NOx"
2018-03-08,8.33333333333333,58.5605991711924,118.753848628146
2018-03-08 01:00:00,4.36,45.3513395174325,81.1143757638176
2018-03-08 02:00:00,4.25333333333333,40.4937513034813,70.9273823606451
2018-03-08 03:00:00,2.02666666666667,37.2529183825616,65.2652690745807
2018-03-08 04:00:00,5.93333333333333,41.3677545836836,80.18438497832
2018-03-08 05:00:00,6.70666666666667,46.8544833520064,101.93112723593
2018-03-08 06:00:00,6.12,78.6638695586763,211.803837605125
2018-03-08 07:00:00,6.92,93.0705872646635,266.543165150181
2018-03-08 08:00:00,5.54666666666667,90.7473973731146,261.764697659349
2018-03-08 09:00:00,8.76,82.1423893910858,241.430856806327
2018-03-08 10:00:00,6.72,86.0861316423013,260.326009492851
2018-03-08 11:00:00,7.6,82.2148936740499,241.69598451811
2018-03-08 12:00:00,11.6133333333333,79.684934496662,240.702143808009
2018-03-08 13:00:00,9.84,77.2750905755863,212.966072872834
2018-03-08 14:00:00,8.4,83.1826468476278,233.696178070042
2018-03-08 15:00:00,7.44,88.8234278095222,283.284298103659
2018-03-08 16:00:00,7.92,112.106643919772,357.172209340227
2018-03-08 17:00:00,8.64,115.744271669147,371.759673284548
2018-03-08 18:00:00,12.48,124.862410419545,393.542876908882
2018-03-08 19:00:00,18.48,130.844449599778,392.938316160046
2018-03-08 20:00:00,14.16,109.191036565463,308.555503344725
2018-03-08 21:00:00,15.36,95.5849864802546,255.409445865676
2018-03-08 22:00:00,16.56,109.008483034262,317.880204380291
2018-03-08 23:00:00,17.04,95.5809229789425,280.699718170873
2018-03-09,13.44,89.6554226572106,238.368798424374
2018-03-09 01:00:00,12.24,70.2109717211133,150.823898277308
2018-03-09 02:00:00,11.76,70.1896598688674,160.313556152329
2018-03-09 03:00:00,10.08,69.6896077486304,157.274235437402
2018-03-09 04:00:00,10.8,74.7021592925753,175.523768539151
2018-03-09 05:00:00,13.2,86.1903068151979,243.953913614972
2018-03-09 06:00:00,13.2,101.697478797044,346.290732095698
2018-03-09 07:00:00,15.36,111.848800642681,445.175560978243
2018-03-09 08:00:00,18,115.385351251263,479.377820827376
2018-03-09 09:00:00,17.76,124.025504360345,490.516201749575
2018-03-09 10:00:00,10.32,126.352882587162,503.146160703266
2018-03-09 11:00:00,10.56,113.824258566529,427.27948717145
2018-03-09 12:00:00,8.88,99.4436253438313,335.925316507339
2018-03-09 13:00:00,18.48,96.6853776992662,350.991685549821
2018-03-09 14:00:00,12.24,121.534227995211,393.423968679728
2018-03-09 15:00:00,16.56,107.94146872543,414.215321804857
2018-03-09 16:00:00,19.44,109.95401233117,379.298203975302
2018-03-09 17:00:00,21.12,108.024664250807,404.678155903261
2018-03-09 18:00:00,19.7466666666667,103.175662935388,355.742902425572
2018-03-09 19:00:00,24.3333333333333,92.9913813217846,299.132858115012
2018-03-09 20:00:00,24.4266666666667,82.6602680053296,277.582435740538
2018-03-09 21:00:00,25.0933333333333,77.6676052237222,284.906080938647
2018-03-09 22:00:00,23.2666666666667,81.5285461402194,270.339962053934
2018-03-09 23:00:00,22.5066666666667,73.4201513304134,208.259026680659
2018-03-10,18.4533333333333,70.6737612301259,191.653318234249
2018-03-10 01:00:00,15.5333333333333,53.7807815437851,139.345831198396
2018-03-10 02:00:00,13.2266666666667,44.4547937892039,99.966627297355
2018-03-10 03:00:00,13.32,43.492759028596,96.2032536823408
2018-03-10 04:00:00,11.32,39.2469757051136,78.8176288491026
2018-03-10 05:00:00,9.4,42.9070271199129,93.0281572682059
2018-03-10 06:00:00,13.4,55.2595891184095,147.870613606267
2018-03-10 07:00:00,13.5066666666667,63.660496258968,200.766441134342
2018-03-10 08:00:00,15.08,70.4749231499732,218.616728733971
2018-03-10 09:00:00,17.36,74.4757151998606,235.097483024681
2018-03-10 10:00:00,12.7733333333333,74.9626048816667,253.95912811181
2018-03-10 11:00:00,14.64,78.4926933300919,246.777288124736
2018-03-10 12:00:00,16.2,82.472040008764,260.023250306795
2018-03-10 13:00:00,16.2266666666667,78.3541344408046,241.732635736986
2018-03-10 14:00:00,13.3466666666667,76.0424655393104,208.731472762446
2018-03-10 15:00:00,13.4666666666667,81.9458969535137,235.884061787677
2018-03-10 16:00:00,11.5733333333333,81.3585222981722,248.219257840687
2018-03-10 17:00:00,16.2933333333333,97.0299388838824,258.546106281622
2018-03-10 18:00:00,17.6666666666667,98.4172213848066,263.42569001671
2018-03-10 19:00:00,18.6666666666667,104.088165803023,273.462715297191
2018-03-10 20:00:00,20.0266666666667,94.2758608558542,246.171590935272
2018-03-10 21:00:00,22.6933333333333,90.2858756887318,236.643476396407
2018-03-10 22:00:00,23.3866666666667,101.50468954385,260.007527268818
2018-03-10 23:00:00,20.3733333333333,94.3477794399982,222.979063475033
2018-03-11,21.2133333333333,97.7635144690465,246.027280594827
2018-03-11 01:00:00,22.6,89.4764175455773,227.454329061599
2018-03-11 02:00:00,23.9466666666667,86.2498648791727,213.636052843822
2018-03-11 03:00:00,21.0666666666667,78.094174577815,178.310726037473
2018-03-11 04:00:00,15.68,69.3572338255957,137.423669104656
2018-03-11 05:00:00,18.3333333333333,65.9178523369136,112.865355765862
2018-03-11 06:00:00,18.6266666666667,71.9232441239504,167.329051556674
2018-03-11 07:00:00,14.2933333333333,70.9632286877359,164.350906773268
2018-03-11 08:00:00,16.9066666666667,70.2201165646204,175.743760762275
2018-03-11 09:00:00,11.6266666666667,74.254057987267,173.532044395112
2018-03-11 10:00:00,10.1466666666667,67.1564898068002,151.15650801864
